name,category,address,zip,phone,hours,lat,lng
"Engine 233 / Ladder 176",Fire Department,"25 Rockaway Avenue, Brooklyn, NY",11233,,,40.6827,-73.9197
"Engine 280 / Ladder 132",Fire Department,"489 St. Johns Place, Brooklyn, NY",11238,,,40.6763,-73.9565
"Marcy Library",Library,"617 DeKalb Avenue, Brooklyn, NY",11216,718-935-0032,,40.6908,-73.9555
"Lewis Avenue Library (Macon Branch)",Library,"361 Lewis Avenue, Brooklyn, NY",11233,718-573-5606,,40.6855,-73.9391
"Bedford Branch Library",Library,"496 Franklin Avenue, Brooklyn, NY",11238,718-623-0012,,40.6820,-73.9574
"Clinton Hill Library",Library,"380 Washington Avenue, Brooklyn, NY",11238,718-398-8713,,40.6867,-73.9639
"Crown Heights Branch Library",Library,"560 New York Avenue, Brooklyn, NY",11225,718-773-1180,,40.6733,-73.9462
"Brower Park Branch Library",Library,"725 Saint Marks Avenue, Brooklyn, NY",11216,718-773-7208,,40.6741,-73.9510
"Central Library (Grand Army Plaza)",Library,"10 Grand Army Plaza, Brooklyn, NY",11238,718-230-2100,,40.6727,-73.9703
"Saratoga Branch Library",Library,"8 Hopkinson Avenue, Brooklyn, NY",11233,718-573-5224,,40.6803,-73.9153
"Washington Irving Library",Library,"360 Irving Avenue, Brooklyn, NY",11237,718-628-8378,,40.6944,-73.9124
"DeKalb Library",Library,"790 Bushwick Avenue, Brooklyn, NY",11221,718-455-3898,,40.6908,-73.9271
"Bushwick Branch Library",Library,"340 Bushwick Avenue, Brooklyn, NY",11206,718-602-1348,,40.7028,-73.9325
"NEBHDCo Golden Harvest Food Pantry",Food Pantry,"745 Lafayette Avenue, Brooklyn, NY",11221,718-453-9490,"Tue & Thu 10am–12pm",40.6930,-73.9361
"St. John's Bread and Life",Food Pantry & Soup Kitchen,"795 Lexington Avenue, Brooklyn, NY",11221,718-574-0058,"Mon–Fri breakfast 8–9:30am; lunch 10:30am–12:30pm",40.6913,-73.9334
"Bed-Stuy Campaign Against Hunger",Food Pantry,"2004 Fulton Street, Brooklyn, NY",11233,718-773-3551,"Mon–Fri 10am–3pm",40.6792,-73.9180
"Neighbors Together",Soup Kitchen,"2094 Fulton Street, Brooklyn, NY",11233,718-498-7256,"Mon–Fri 12–2pm & 4–6pm",40.6792,-73.9167
"Brooklyn Rescue Mission",Food Pantry,"255 Bainbridge Street, Brooklyn, NY",11233,718-363-3085,"Tue & Thu 7am–12pm",40.6841,-73.9165
"The Salvation Army Bedford",Food Pantry,"601 Lafayette Avenue, Brooklyn, NY",11216,718-622-0614,"Mon–Thu 1–2:30pm",40.6930,-73.9488
"Agape Social Services / Beulah Church",Food Pantry & Soup Kitchen,"929 Marcy Avenue, Brooklyn, NY",11216,718-484-3823,"Pantry: Tue/Thu/Fri 10:30am–2pm; Soup Kitchen: Wed 12:30–2pm",40.6872,-73.9553
"Siloam Presbyterian Church Food Pantry",Food Pantry,"260 Jefferson Avenue, Brooklyn, NY",11216,718-789-7050,"Wed & Fri 10am–1pm",40.6883,-73.9544
"John Wesley United Methodist Church",Food Pantry & Soup Kitchen,"260 Quincy Street, Brooklyn, NY",11216,718-783-5735,"Pantry: Tue 2–6pm; Soup Kitchen: Thu 12:30–2pm",40.6913,-73.9535
"Newman Memorial United Methodist Church",Food Pantry & Soup Kitchen,"257 Macon Street, Brooklyn, NY",11216,718-622-7955,"Tue 9am–2pm",40.6883,-73.9539
"Bridge Street AME Church",Soup Kitchen,"277 Stuyvesant Avenue, Brooklyn, NY",11221,718-452-3936,"Wed 11am–1pm",40.6893,-73.9379
"Cornerstone Baptist Food Pantry",Food Pantry,"562 Madison Street, Brooklyn, NY",11221,718-789-0946,"Tue 11am–1pm",40.6957,-73.9347
"Upper Room Full Gospel Baptist Church",Food Pantry & Soup Kitchen,"180 Van Buren Street, Brooklyn, NY",11221,347-680-6781,"Mon–Fri 10am–3pm; Soup Kitchen 12–2pm",40.6931,-73.9321
"Faith Assemblies",Food Pantry & Soup Kitchen,"1014 Gates Avenue, Brooklyn, NY",11221,347-853-4966,"Sat 9–11:30am",40.6858,-73.9267
"The Salvation Army Bushwick",Food Pantry & Soup Kitchen,"1151 Bushwick Avenue, Brooklyn, NY",11221,718-455-4102,"Pantry: Mon/Tue/Thu/Fri 10am–1pm",40.6952,-73.9253
"Black Veterans for Social Justice",Food Pantry,"357 Marcus Garvey Blvd, Brooklyn, NY",11221,718-852-6004,"Every other Fri 2–3:30pm",40.6886,-73.9400
"St. Philip's Christian Church",Food Pantry,"765 Lafayette Avenue, Brooklyn, NY",11221,718-453-0691,"Thu 12:30–2:30pm",40.6930,-73.9355
"Child Development Support Corp",Food Pantry,"352 Classon Avenue, Brooklyn, NY",11238,718-398-2050,"Thu 10am–1pm",40.6818,-73.9631
"Hope City Empowerment Center",Food Pantry & Soup Kitchen,"650 Washington Avenue, Brooklyn, NY",11238,718-857-5698,"Soup Kitchen: Tue/Thu/Fri 12:30–2pm; Pantry: every other Fri 9–11am",40.6832,-73.9639
"Bethel Seventh Day Adventist Church",Food Pantry & Soup Kitchen,"457 Grand Avenue, Brooklyn, NY",11238,718-783-3630,"Soup Kitchen: Sun 1–2pm",40.6783,-73.9624
"Quincy Community Service Inc.",Food Pantry & Soup Kitchen,"84 Quincy Street, Brooklyn, NY",11238,718-740-1680,"Soup Kitchen: Wed 1–3pm; Pantry: varies",40.6908,-73.9631
"Union Baptist Church",Food Pantry & Soup Kitchen,"461 Decatur Street, Brooklyn, NY",11233,718-452-7248,"Wed & Fri 12–2pm",40.6873,-73.9180
"St. Benedict's Pantry (St. Phillips Church)",Food Pantry,"265 Decatur Street, Brooklyn, NY",11233,718-778-0962,"Wed 11am–1pm (closed Aug)",40.6873,-73.9215
"Calvary AME Church",Soup Kitchen,"790 Herkimer Street, Brooklyn, NY",11233,718-467-0987,"Tue 12:30–2pm",40.6787,-73.9195
"Chance for Children",Food Pantry,"2097 Fulton Street, Brooklyn, NY",11233,718-566-2823,"Fri 10am–12pm",40.6792,-73.9162
"Community Board 3 Office",Community,"1360 Fulton Street, Brooklyn, NY",11216,718-622-6601,"Mon–Fri 9am–5pm",40.6805,-73.9551
"NEBHDCo Main Office",Community,"132 Ralph Avenue, Brooklyn, NY",11233,718-453-9490,,40.6850,-73.9215
